First Name,Last Name,Title,Company,Website,Person Linkedin Url,Email,Country,City,Seniority
Sophia,Re***g,Head of Product Management,Checkout Charlie GmbH - a member of solute.,checkout-charlie.com,,,,,
Viktoria,Mu***r,Vice President Marketing,Checkout Charlie GmbH - a member of solute.,checkout-charlie.com,,,,,
Adithya,Iv***i,Co-Founder,CleverDrip,cleverdrip.com,,,,,
Chandu,Iv***i,Co-Founder,CleverDrip,cleverdrip.com,,,,,
Attaullah,Ma***k,Founder,"CliqRise, Inc.",cliqrise.ai,,,,,
Jovan,Ko***c,Chief Technology Officer (CTO),Coinis,coinis.com,,,,,
Dan,Pe***c,Co-Founder,Coinis,coinis.com,,,,,
Ivana,Jo***c,Director of Products,Coinis,coinis.com,,,,,
Mersed,Ca***c,Founder & Operator,Coinis,coinis.com,,,,,
Andreas,Jo***n,Founder,Compary AB,compary.com,,,,,
Viren,An***d,Founder,CONVIVIAL CORDS,convivialcords.in,,,,,
Mike,Ro***s,Managing Director,Crowd Acquire,crowdacquire.com,,,,,
RJ,Ga***z,"Founder, CEO & Chairman",Cyber,cyberinc.co,,,,,
Nick,Eu***s,Chief Marketing Officer,Digistore24 USA,digistore24.com,,,,,
Kyle,Da***a,Director of Digital Strategy and Growth,Digistore24 USA,digistore24.com,,,,,
Julianne,Ma***n,Director of Marketing,Digistore24 USA,digistore24.com,,,,,
Atika,Mu***l,Marketing Director,Digistore24 USA,digistore24.com,,,,,
Uche,Fe***s,Co-Founder,Digitstem,digitstem.com,,,,,
Odudu-Abasi,Ak***n,Co-Founder,Digitstem,digitstem.com,,,,,
King,Le***d,Co-Founder,Digitstem,digitstem.com,,,,,
Thien,Ng***n,Founder,DishPair,dishpair.com,,,,,
Mushegh,Ge***n,CEO and Founder,Dowork.ai,dowork.ai,,,,,
Razmik,Ge***n,Chief Technology Officer,Dowork.ai,dowork.ai,,,,,
Jaume,Va***s,(CTO) - Chief Technology Officer,eMarketingSolutions,emarketingsolutions.es,,,,,
Jesus,Ga***n,Co-Founder & CEO,eMarketingSolutions,emarketingsolutions.es,,,,,
Juan,Me***r,Co-Founder & CIO,eMarketingSolutions,emarketingsolutions.es,,,,,
Shankar,Ko***i,Co-Founder & CEO,ExtraPe,extrape.com,,,,,
Sreedhar,Pi***a,Head of Technology,ExtraPe,extrape.com,,,,,
Asger,Ma***n,CEO of Filify,Filify,filify.app,,,,,
Adrien,Ko***e,CEO & Co-Founder,Fluenceur,fluenceur.com,,,,,
Vincent,Le***n,Co-founder,Fluenceur,fluenceur.com,,,,,
Franktrax,Pa***s,CEO,Franktrax.net,franktrax.network,,,,,
Igor,Tr***n,Founder & Board Member,GIVT.cz,givt.cz,,,,,
Eva,Pa***g,CMO,Indexmobi/NutraIndex,indexmobi.com,,,,,
Prayudho,Ra***o,Chief Product Officer,PT Interspace Indonesia,interspace.co.id,,,,,
Franiel,Po***a,CEO,JVZoo,jvzoo.com,,,,,
Enobong,Ak***n,Chief Operating Officer,JVZoo,jvzoo.com,,,,,
Chigozie,Em***l,Group CEO,JVZoo,jvzoo.com,,,,,
Pavan,Kr***y,CTO,Kalder | Turn Rewards into Revenue,kalder.co,,,,,
Goekce,Gu***n,Founder & CEO,Kalder | Turn Rewards into Revenue,kalder.co,,,,,
Richard,St***s,CEO,Kelkoo Group,kelkoogroup.com,,,,,
Christophe,He***s,Head of Corporate IT,Kelkoo Group,kelkoogroup.com,,,,,
Piotr,Le***i,Head of Partnership Poland,Kelkoo Group,kelkoogroup.com,,,,,
Stefan,Ec***t,Head of Partnerships DACH,Kelkoo Group,kelkoogroup.com,,,,,
Beatriz,Ab***u,Head of Partnerships Iberia,Kelkoo Group,kelkoogroup.com,,,,,
Pierre,Ma***t,Head of Product,Kelkoo Group,kelkoogroup.com,,,,,
Christopher,Th***u,Head of Product,Kelkoo Group,kelkoogroup.com,,,,,
Sadek,Ch***n,Managing Director,Kelkoo Group,kelkoogroup.com,,,,,
Nicolas,Le***y,Product Director,Kelkoo Group,kelkoogroup.com,,,,,
Nick,Coe,Co-Founder,Kutoku,kutoku.com,,,,,
Tim,Fl***r,Co-Founder and CTO,Kutoku,kutoku.com,,,,,
Michael,Ba***h,CTO,LeadsMarket.com,leadsmarket.com,,,,,
Kostiantyn,Ka***v,Chief Marketing Officer,LeadsMarket.com,leadsmarket.com,,,,,
Dmytro,Tr***n,Director of Product Management,LeadsMarket.com,leadsmarket.com,,,,,
George,So***s,Co-founder / Client Services Director,Linkwise,linkwi.se,,,,,
Abdelrazak,Be***h,Founder Sustainability Strategist | UN SDG Advocate,Linkwise,linkwi.se,,,,,
Jesse,Pr***l,Chief Executive Officer,LogicMedia BV,logicmedia.be,,,,,
Volodymyr,Ru***v,Chief Executive Officer,Lospollos,lospollos.com,,,,,
Lucy,Ch***n,Managing Partner,Lospollos,lospollos.com,,,,,
Temirlan,Is***v,Co-Founder,ManyBoost.io,manyboost.io,,,,,
Adilbek,Ka***h,Co-founder,ManyBoost.io,manyboost.io,,,,,
Andra,Io***u,Chief Executive Officer,MaxWeb Inc,maxweb.com,,,,,
Bilal,Ka***i,Co-Founder & CEO,MDZN Partners,mdznpartners.com,,,,,
Mark,Mc***e,Chief Operating Officer,MillionPugs,millionpugs.com,,,,,
Dung,Tr***n,CEO & Founder,MOG Career,mog.net,,,,,
Marco,Ph***m,Director of Product Design,MOG Career,mog.net,,,,,
Steven,Br***n,Founder and Chief Executive,Moonpull,moonpullpartners.com,,,,,
Anders,Pe***s,Co-Founder,MyBonus,mybonus.com,,,,,
Gustav,Pe***s,Co-Founder,MyBonus,mybonus.com,,,,,
Michael,Re***h,"CEO, Founder",Noctemque,noctemque.com,,,,,
Manish,Si***h,Founder,OfferBorn - Affiliate Tracking Platform,offerborn.com,,,,,
Kuldeep,Me***a,Co-Founder & CEO,Opicle,opicle.com,,,,,
Mukesh,Ku***i,Founder & CEO,Opicle,opicle.com,,,,,
Offcampusdrive,Org,Head of Digital,Opicle,opicle.com,,,,,
Fatema,Ud***a,Associate Director - Publisher Partnerships & Success,Parity Cube Pvt. Ltd.,paritycube.com,,,,,
Jimish,Jo***a,Co-Founder & CTO,Parity Cube Pvt. Ltd.,paritycube.com,,,,,
Pooja,Bh***i,Chief Product Officer,PerPayment,perpayment.com,,,,,
Siddharth,Ar***a,Founder,PixelRings,pixelrings.com,,,,,
Michael,Ro***d,Founder / Chief Marketing Officer,"Private Media, LLC",privatemediallc.com,,,,,
Ketan,Ga***g,Co-founder & Business Head,Proformics,proformics.com,,,,,
Jan,Bi***f,Founder & Managing Director,NetSlave GmbH,qualityclick.com,,,,,
Phillip,Pi***r,Chief Executive Officer,Quantum Gaming,quantumgaming.com,,,,,
Oliver,Bo***o,Co-Founder,Quantum Gaming,quantumgaming.com,,,,,
Shashank,Ra***a,Co-Founder,QYUBIC,qyubic.com,,,,,
Namrata,Ra***a,Founder & CEO,QYUBIC,qyubic.com,,,,,
Ishfaq,Ma***l,Head of Partnerships,QYUBIC,qyubic.com,,,,,
Aron,My***l,Head of Sales & Partnerships,RavenTrack,raventrack.com,,,,,
Adam,Ro***y,Managing Director,RavenTrack,raventrack.com,,,,,
Alexander,Ar***v,Chief Technology Officer,Referral Factory,referral-factory.com,,,,,
Kapil,Na***a,Co-Founder,Reffero Solutions,reffero.com,,,,,
Daniel,Re***y,Founder and Director,Ruler Analytics,ruleranalytics.com,,,,,
Jamie,Ha***t,Head of Growth,Ruler Analytics,ruleranalytics.com,,,,,
Jerome,Bi***t,Co-Founder,Converge (YC S23),runconverge.com,,,,,
Thomas,Ho***t,Co-Founder and CTO,Converge (YC S23),runconverge.com,,,,,
Julie,Wo***d,COO,Searlco LTD,searlco.com,,,,,
Samia,Ev***s,Deputy CEO,Searlco LTD,searlco.com,,,,,
Mihir,Ba***a,Co-Founder,ShareAProfit,shareaprofit.com,,,,,
Arshit,Ra***t,Head of Digital Marketing,ShareAProfit,shareaprofit.com,,,,,
Chris,Ba***n,CEO - Australia & NZ,Optimise,shoogloomedia.com,,,,,
Giles,Hu***t,Chief Product & Technology Officer,Optimise,shoogloomedia.com,,,,,
Laxmi,Sh***a,Co-Founder & Managing Director,Optimise,shoogloomedia.com,,,,,
Jean,Di***t,Gérant et Directeur Technique,Optimise,shoogloomedia.com,,,,,
David,Ch***k,Head of Growth,Optimise,shoogloomedia.com,,,,,
Pratibha,Th***r,Head of Partnerships,Optimise,shoogloomedia.com,,,,,
Nic,Gan,"Head of Partnerships, SEA",Optimise,shoogloomedia.com,,,,,
James,Eb***z,Head of Product,Optimise,shoogloomedia.com,,,,,
Leanne,Ha***y,Managing Director (UK),Optimise,shoogloomedia.com,,,,,
PL,Sh***a,Managing Director - MENA,Optimise,shoogloomedia.com,,,,,
Karla,Mu***y,Managing Director - SEA,Optimise,shoogloomedia.com,,,,,
Darren,Me***a,Co-Founder,SightBridgeHub,sightbridgehub.com,,,,,
Daniele,Gi***a,Analytics Engineering Director,Skimlinks,skimlinks.com,,,,,
Neenu,Ra***n,Director QA Engineering,Skimlinks,skimlinks.com,,,,,
Gaurav,Ar***a,Director of Global Partnerships,Skimlinks,skimlinks.com,,,,,
Aurelie,Gr***n,Director of Product Marketing,Skimlinks,skimlinks.com,,,,,
Craig,Jo***n,Head of Publisher Partnerships,Skimlinks,skimlinks.com,,,,,
Jenny,Hu***r,Senior Director of Growth,Skimlinks,skimlinks.com,,,,,
Walter,Kn***p,CEO,Sovrn,sovrn.com,,,,,
Jud,Va***i,Chief Technology Officer,Sovrn,sovrn.com,,,,,
Ashok,Mo***i,Director of Engineering,Sovrn,sovrn.com,,,,,
Danny,Ch***r,"Director of Product Management, Advertising",Sovrn,sovrn.com,,,,,
Ophelia,Li***e,"Director, Data Partnerships",Sovrn,sovrn.com,,,,,
Alex,St***d,"Director, Product Marketing & Growth",Sovrn,sovrn.com,,,,,
Brian,He***t,"Director, Solutions Engineering",Sovrn,sovrn.com,,,,,
Bobby,Ma***s,"Managing Director, Operations",Sovrn,sovrn.com,,,,,
Elizabeth,Bo***z,Head of Marketing,TapOK,tap-ok.com,,,,,
Yaniv,Mo***e,CEO,Tarzo,tarzo.io,,,,,
Itai,Ba***l,COO,Tarzo,tarzo.io,,,,,
Ohad,Le***y,Chief Marketing Officer,Tarzo,tarzo.io,,,,,
Jens,Ro***e,CEO,Tellja GmbH,tellja.de,,,,,
Michal,Ha***n,Co-Founder & CEO,Tipli,tipli.cz,,,,,
Petr,Ji***k,Co-founder & CTO,Tipli,tipli.cz,,,,,
Jiri,Ji***k,Head of Marketing,Tipli,tipli.cz,,,,,
Daniel,Gj***j,CEO & Co-Founder,Tolt,tolt.com,,,,,
Valentin,Gj***j,Co-Founder,Tolt,tolt.com,,,,,
Daria,My***a,Chief Executive Officer,TrackAd Россия,trackad.ru,,,,,
Jenny,Go***z,Co-Founder and CEO,Trackfinity,trackfinity.com,,,,,
Philip,Ke***s,COO,TradeTracker.com,tradetracker.com,,,,,
Paul,Do***n,Chief Executive Officer,TradeTracker.com,tradetracker.com,,,,,
Lars,Fi***e,Managing Director & Partner,TradeTracker.com,tradetracker.com,,,,,
Vanni,Lu***i,Managing Director TradeTracker Italy,TradeTracker.com,tradetracker.com,,,,,
Kuldeep,Ne***i,Co-Founder,TrakAff - Affiliate Tracking Software,trakaff.com,,,,,
Himesh,Ka***a,Co-Founder,TrakAff - Affiliate Tracking Software,trakaff.com,,,,,
Dimitris,Lo***s,CTO & Lead Engineer,Viral Loops,viral-loops.com,,,,,
Anthony,Ma***s,Head of Sales & Product Manager,Viral Loops,viral-loops.com,,,,,
Jan,Vo***r,Managing Director,Volo Media,volomedia.com,,,,,
Alexandra,Ma***o,Chief Executive Officer,Wayward,wayward.com,,,,,
Jake,Co***n,Chief Go-To-Market Officer,Wayward,wayward.com,,,,,
Leo,Pe***z,Chief Operating Officer,Wayward,wayward.com,,,,,
Jesse,Gr***n,Chief Technology Officer,Wayward,wayward.com,,,,,
Jack,Le***m,Director of Growth,Wayward,wayward.com,,,,,
Xin,Guo,Managing Director,Wayward,wayward.com,,,,,
Ravi,Ku***r,Founder,WOOST®,woost.io,,,,,
Oliver,Kr***e,Co-Founder & CPO,yamuntu,yamuntu.com,,,,,
Nawshad,Ar***n,Co-Founder & Chief Business Officer (CBO),YEAMAZING PTE. LTD.,yeamazing.com,,,,,
Nigil,Na***i,Director - Zesro Technologies,Zesro Technologies Private Limited,zesrotechnologies.com,,,,,
